Timestamp,recommended HH charge cell,TPH optimum,soft recommended HH charge cell
2021-09-15 06:01:00,1010,4486.461,774.5833333333333
2021-09-15 06:02:00,1010,4488.201,776.9956140350878
2021-09-15 06:03:00,1010,4488.2754,779.4078947368422
2021-09-15 06:04:00,1010,4489.2847,781.8201754385965
2021-09-15 06:05:00,1010,4489.2847,784.2324561403509
2021-09-15 06:06:00,1010,4489.2847,786.6447368421052
2021-09-15 06:07:00,1010,4489.2847,789.0570175438596
2021-09-15 06:08:00,1010,4489.746,791.4692982456141
2021-09-15 06:09:00,1010,4489.2847,793.8815789473684
2021-09-15 06:10:00,1010,4491.6553,796.2938596491229
2021-09-15 06:11:00,1010,4488.902,798.7061403508771
2021-09-15 06:12:00,1010,4488.902,801.1184210526316
2021-09-15 06:13:00,1010,4496.1304,803.530701754386
2021-09-15 06:14:00,1010,4495.404,805.9429824561404
2021-09-15 06:15:00,1010,4506.2837,808.3552631578948
2021-09-15 06:16:00,1010,4504.973,810.7675438596491
2021-09-15 06:17:00,1010,4495.0664,813.1798245614034
2021-09-15 06:18:00,1010,4495.0664,815.5921052631579
2021-09-15 06:19:00,1010,4495.0664,818.0043859649123
2021-09-15 06:20:00,1010,4495.0664,820.4166666666666
2021-09-15 06:21:00,1010,4490.482,822.828947368421
2021-09-15 06:22:00,1010,4491.3813,825.2412280701753
2021-09-15 06:23:00,1010,4511.5625,827.6535087719298
2021-09-15 06:24:00,1010,4500.731,830.0657894736842
2021-09-15 06:25:00,1010,4492.118,832.4780701754386
2021-09-15 06:26:00,1010,4488.5215,834.890350877193
2021-09-15 06:27:00,1010,4484.8223,837.3026315789473
2021-09-15 06:28:00,1010,4496.64,839.7149122807019
2021-09-15 06:29:00,1010,4503.7393,842.1271929824561
2021-09-15 06:30:00,1010,4502.89,844.5394736842105
2021-09-15 06:31:00,1010,4495.7925,846.9517543859649
2021-09-15 06:32:00,1010,4522.44,849.3640350877192
2021-09-15 06:33:00,1010,4499.9077,851.7763157894736
2021-09-15 06:34:00,1010,4499.468,854.188596491228
2021-09-15 06:35:00,1010,4489.5146,856.6008771929825
2021-09-15 06:36:00,1010,4493.734,859.0131578947369
2021-09-15 06:37:00,1010,4502.3457,861.4254385964912
2021-09-15 06:38:00,1010,4497.368,863.8377192982456
2021-09-15 06:39:00,1010,4493.415,866.25
2021-09-15 06:40:00,1010,4493.415,868.6622807017544
2021-09-15 06:41:00,1010,4465.62,871.0745614035088
2021-09-15 06:42:00,1010,4454.2065,873.4868421052631
2021-09-15 06:43:00,1010,4453.162,875.8991228070175
2021-09-15 06:44:00,1010,4457.6274,878.311403508772
2021-09-15 06:45:00,1010,4462.36,880.7236842105264
2021-09-15 06:46:00,1010,4464.2393,883.1359649122808
2021-09-15 06:47:00,1010,4488.633,885.5482456140351
2021-09-15 06:48:00,1010,4487.2935,887.9605263157894
2021-09-15 06:49:00,1010,4486.6895,890.3728070175439
2021-09-15 06:50:00,1010,4487.014,892.7850877192983
2021-09-15 06:51:00,1010,4486.5205,895.1973684210525
2021-09-15 06:52:00,1010,4482.3813,897.609649122807
2021-09-15 06:53:00,1010,4482.3813,900.0219298245614
2021-09-15 06:54:00,1010,4480.504,902.4342105263158
2021-09-15 06:55:00,1010,4478.1367,904.8464912280702
2021-09-15 06:56:00,1010,4478.1367,907.2587719298244
2021-09-15 06:57:00,1010,4480.15,909.671052631579
2021-09-15 06:58:00,1010,4480.15,912.0833333333333
2021-09-15 06:59:00,1010,4479.086,914.4956140350878
2021-09-15 07:00:00,1010,4481.8945,916.9078947368422
2021-09-15 07:01:00,1010,4483.619,919.3201754385964
2021-09-15 07:02:00,1010,4483.518,921.7324561403509
2021-09-15 07:03:00,935,4478.098,924.1447368421053
2021-09-15 07:04:00,935,4477.658,926.3157894736842
2021-09-15 07:05:00,935,4478.5737,928.2456140350878
2021-09-15 07:06:00,935,4478.5737,929.9342105263158
2021-09-15 07:07:00,935,4476.93,931.3815789473683
2021-09-15 07:08:00,935,4480.6294,932.5877192982456
2021-09-15 07:09:00,935,4480.6294,933.5526315789473
2021-09-15 07:10:00,935,4481.563,934.2763157894736
2021-09-15 07:11:00,935,4481.563,934.7587719298247
2021-09-15 07:12:00,935,4481.123,935.0
2021-09-15 07:13:00,935,4481.123,935.0
2021-09-15 07:14:00,935,4481.123,935.0
2021-09-15 07:15:00,910,4477.8613,932.5
2021-09-15 07:16:00,910,4462.447,930.0
2021-09-15 07:17:00,935,4477.37,930.0
2021-09-15 07:18:00,935,4477.169,930.0
2021-09-15 07:19:00,935,4477.169,930.0
2021-09-15 07:20:00,935,4477.37,930.0
2021-09-15 07:21:00,910,4474.162,927.5
2021-09-15 07:22:00,935,4477.37,927.5
2021-09-15 07:23:00,935,4476.93,927.5
2021-09-15 07:24:00,935,4476.93,927.5
2021-09-15 07:25:00,935,4477.37,930.0
2021-09-15 07:26:00,935,4476.93,932.5
2021-09-15 07:27:00,935,4478.5737,932.5
2021-09-15 07:28:00,935,4479.0137,932.5
2021-09-15 07:29:00,935,4479.0137,932.5
2021-09-15 07:30:00,935,4478.5737,932.5
2021-09-15 07:31:00,935,4476.93,935.0
2021-09-15 07:32:00,935,4477.37,935.0
2021-09-15 07:33:00,935,4477.37,935.0
2021-09-15 07:34:00,935,4481.0693,935.0
2021-09-15 07:35:00,935,4486.172,935.0
